Header_Order,DLL Function Name,mex option,Matlab Name,Notes
1,ADI_OpenFile,0,openFile,
2,ADI_CreateFile,NYI,,
3,ADI_GetErrorMessage,14,,
4,ADI_TickToSamplePos,NYI,,
5,ADI_SamplePosToTick,NYI,,
6,ADI_GetNumberOfRecords,1,,
7,ADI_GetNumberOfChannels,2,,
8,ADI_GetNumTicksInRecord,3,,
9,ADI_GetRecordTickPeriod,4,,
10,ADI_GetNumSamplesInRecord,5,,
11,ADI_GetRecordSamplePeriod,15,getSamplePeriod,
12,ADI_GetRecordTime,16,,
13,ADI_CreateCommentsAccessor,6,,
14,ADI_CloseCommentsAccessor,7,,
15,ADI_GetCommentInfo,8,,
16,ADI_NextComment,9,,
17,ADI_GetSamples,10,,
18,ADI_GetUnitsName,11,,
19,ADI_GetChannelName,12,,
20,ADI_SetChannelName,NYI,,
21,ADI_CreateWriter,NYI,,
22,ADI_SetChannelInfo,NYI,,
23,ADI_StartRecord,NYI,,
24,ADI_AddChannelSamples,NYI,,
25,ADI_FinishRecord,NYI,,
26,ADI_CommitFile,NYI,,
27,ADI_CloseWriter,NYI,,
28,ADI_AddComment,NYI,,
29,ADI_DeleteComment,NYI,,
30,ADI_CloseFile,13,closeFile,
